,Brand,Model,Spec,Year,dB at idle,dB at 50km/h,dB at 80km/h,dB at 100km/h,dB at 120km/h,dB at 140km/h
0,Abarth,595,Competizione,2017, 49.9 , 65.7 , 69.0 , 72.3 , 73.1 , 75.8 
1,Acura,MDX,3.5 V6,2013, 41.7 , 51.7 , 57.9 , 61.2 , 64.0 , 66.8 
2,Acura,RDX,3.5 V6,2012, 43.0 , 54.4 , 61.5 , 65.5 , 67.7 , 69.9 
3,Acura,RL,3.7 V6,2009, 43.6 , 55.5 , 63.0 , 66.9 , 70.2 , 73.5 
4,Acura,RLX,3.5 V6,2013, 39.5 , 49.7 , 56.0 , 59.3 , 62.4 , 65.6 
5,Acura,RLX,3.5 V6,2016, 42.2 , 51.1 , 56.7 , 59.4 , 62.6 , 65.9 
6,Acura,TL,3.5 V6,2009, 40.2 , 54.5 , 63.3 , 68.6 , 70.1 , 71.7 
7,Acura,TL,3.7 V6,2010, 39.9 , 48.4 , 53.8 , 56.2 , 60.2 , 64.2 
8,Acura,TSX,2.4,2009, 42.2 , 54.0 , 61.2 , 65.2 , 67.9 , 70.5 
9,Acura,TSX,V6,2010, 42.4 , 54.3 , 61.7 , 65.5 , 69.0 , 72.6 
10,Acura,TSX,Stationcar,2011, 48.8 , 56.7 , 61.7 , 64.2 , 66.6 , 69.1 
11,Alfa Romeo,147,1.9 JTDm,2008, 44.9 , 55.2 , 63.5 , 67.0 , 69.1 , 71.4 
12,Alfa Romeo,159,2.2 JTS,2008, 44.5 , 54.8 , 63.0 , 67.2 , 68.5 , 70.2 
13,Alfa Romeo,159,2.2 JTS Selespeed,2008, 44.5 , 54.8 , 63.0 , 67.2 , 68.5 , 70.2 
14,Alfa Romeo,4C, ,2014, 50.1 , 75.2 , 76.1 , 76.9 , 81.3 , 83.3 
15,Alfa Romeo,Giulia,2.1d,2017, 44.9 , 59.8 , 63.5 , 67.3 , 69.1 , 72.7 
16,Alfa Romeo,Giulia,2.9 V6,2017, 47.9 , 60.8 , 64.0 , 67.3 , 70.1 , 73.7 
17,Alfa Romeo,Giulietta,1.4,2010, 44.1 , 60.5 , 64.0 , 66.0 , 68.5 , 71.5 
18,Alfa Romeo,Giulietta,1.6 JTDm,2011, 43.7 , 53.8 , 61.9 , 66.2 , 67.3 , 68.8 
19,Alfa Romeo,Giulietta,1.4T,2012, 42.1 , 58.8 , 61.1 , 63.5 , 66.5 , 68.3 
20,Alfa Romeo,Giulietta,2.0 JTDm,2012, 45.2 , 55.7 , 64.0 , 68.0 , 69.6 , 71.6 
21,Alfa Romeo,GT,1.9 JTDm Q2,2008, 41.9 , 51.5 , 59.2 , 63.8 , 64.4 , 65.3 
22,Alfa Romeo,MiTo,1.4 Turbo 155,2008, 45.1 , 55.5 , 63.8 , 68.5 , 69.4 , 70.7 
23,Alfa Romeo,MiTo,1.6 JTDm,2009, 46.6 , 57.4 , 66.0 , 70.3 , 71.7 , 73.5 
24,Alfa Romeo,MiTo,1.4 Turbo Multi-Air,2010, 42.0 , 62.3 , 66.4 , 68.5 , 72.9 , 75.7 
25,Alfa Romeo,Stelvio,2.0,2017, 42.9 , 57.8 , 61.0 , 64.3 , 66.2 , 69.6 
26,Alfa Romeo,Stelvio,2.1d,2017, 43.9 , 53.8 , 58.3 , 61.7 , 67.6 , 67.7 
27,Alpina,B7, ,2011, 43.9 , 54.8 , 61.5 , 65.5 , 67.1 , 68.8 
